record,compiler,operation,tag_bits,message_bytes,latency_ms_median,mib_per_second_median,tsc_ticks_per_byte_median,current_rss_with_output_kib
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,256,4.255888,0.057365,26731.447388,3484
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,256,4.271342,0.057158,26828.508545,3492
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,256,4.251785,0.057421,26705.703125,3492
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,1024,15.342325,0.063652,24091.472377,3496
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,1024,15.306926,0.063799,24035.873326,3496
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,1024,15.336810,0.063674,24082.745675,3504
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,1024,15.346347,0.063635,24097.758371,3440
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,1024,15.363015,0.063566,24123.933036,3504
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,1024,15.216347,0.064179,23893.618722,3500
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,4096,59.559591,0.065586,23381.020874,3512
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,4096,59.134304,0.066057,23214.057495,3512
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,4096,59.302106,0.065870,23279.894897,3512
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,4096,59.494663,0.065657,23355.479858,3512
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,4096,58.992216,0.066216,23158.229126,3512
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,4096,59.544464,0.065602,23375.074097,3464
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,65536,940.435524,0.066459,23073.978958,3748
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,65536,944.182552,0.066195,23165.901627,3732
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,65536,939.737775,0.066508,23056.797852,3732
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,65536,942.501517,0.066313,23124.659561,3744
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,65536,942.367981,0.066322,23121.399200,3728
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,65536,944.251223,0.066190,23167.602219,3748
GCC14_PRIMARY.json,gcc-14.2.0,seal,128,1048576,15089.620172,0.066271,23139.424764,7588
GCC14_PRIMARY.json,gcc-14.2.0,open-success,128,1048576,15083.862745,0.066296,23130.617227,6564
GCC14_PRIMARY.json,gcc-14.2.0,seal,192,1048576,15074.953099,0.066335,23116.966809,7588
GCC14_PRIMARY.json,gcc-14.2.0,open-success,192,1048576,15059.396317,0.066404,23093.130762,6572
GCC14_PRIMARY.json,gcc-14.2.0,seal,256,1048576,15070.780841,0.066354,23110.603447,7580
GCC14_PRIMARY.json,gcc-14.2.0,open-success,256,1048576,15119.623099,0.066139,23185.520984,6572
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,0,0.448731,,,3472
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,0,0.445140,,,3540
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,0,0.450056,,,3472
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,0,0.443131,,,3472
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,0,0.445413,,,3540
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,0,0.444322,,,3536
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,16,0.739679,0.020629,74333.502170,3536
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,16,0.740903,0.020595,74458.672309,3536
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,16,0.742205,0.020559,74589.631076,3476
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,16,0.743293,0.020529,74698.731337,3536
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,16,0.763336,0.019990,76712.762587,3420
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,16,0.754149,0.020233,75789.843994,3472
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,64,1.166458,0.052325,29306.356283,3476
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,64,1.165041,0.052389,29270.731120,3492
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,64,1.155764,0.052809,29037.637533,3476
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,64,1.167399,0.052283,29329.989583,3472
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,64,1.171039,0.052121,29421.440104,3476
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,64,1.150440,0.053054,28903.863607,3472
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,256,3.311565,0.073724,20800.135010,3540
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,256,3.319891,0.073539,20852.442139,3540
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,256,3.297915,0.074029,20714.403809,3532
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,256,3.325414,0.073417,20887.171753,3540
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,256,3.291394,0.074175,20673.443970,3476
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,256,3.321599,0.073501,20863.162476,3540
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,1024,11.946534,0.081744,18759.277161,3500
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,1024,11.445700,0.085321,17972.775174,3540
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,1024,11.928076,0.081871,18730.258240,3548
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,1024,11.753280,0.083089,18455.764648,3544
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,1024,11.848025,0.082424,18604.492839,3436
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,1024,11.746576,0.083136,18445.172526,3544
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,4096,45.682183,0.085509,17933.259277,3440
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,4096,46.366872,0.084247,18202.033122,3492
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,4096,45.146681,0.086524,17723.102702,3496
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,4096,46.219258,0.084516,18144.122233,3496
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,4096,45.120522,0.086574,17712.788574,3560
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,4096,46.245979,0.084467,18154.658285,3556
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,65536,702.804524,0.088929,17243.691040,3668
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,65536,704.455379,0.088721,17284.203201,3616
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,65536,702.765376,0.088934,17242.669891,3728
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,65536,704.066776,0.088770,17274.643799,3616
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,65536,702.453281,0.088974,17235.070740,3664
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,65536,703.807461,0.088803,17268.287643,3664
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,128,1048576,11253.748883,0.088859,17257.323213,7508
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,128,1048576,12867.902698,0.077713,19732.592708,6492
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,192,1048576,11306.315032,0.088446,17337.941795,7560
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,192,1048576,11251.164792,0.088880,17253.375668,6552
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),seal,256,1048576,11273.727197,0.088702,17287.978305,7568
CLANG19_PRIMARY.json,clang-19.1.7 (3+b1),open-success,256,1048576,11277.291272,0.088674,17293.445027,6488
