index,key_hex,context_hex,message_hex,tag_bytes,tag_hex
10,55eeff1410fc8cac3be8c3224dde351f18b1ef8d49b281f5bc29ebf4e08aecda,a91f0272884604d3b03b,0b944ed32bce64964b79ff39477f341cba4af73ac9aba7224de5d56193b895812f1ac0c6faa0685a3321f0,24,f1e8bc100d1013b809b599e83a05e340b4b3c4d07b42e727
11,a7a0c04caeec1fe812d2772527548b0b487de178491573342c7eb768dd6d43fe,eb30fe3d299b7cf01c8ff3,c5d95e3e040456fda6f25e015bf89d8262e1828f983c5c9738305fd08eeaa20490df59bf35c374c3562b1a55d5cf33e99069bdbc73bda40b03c53493,32,f03595a63137c7b6156ef61956ece64bbdea76dc5efd3976de383d296e0bacb5
12,10d0d6ecfa8e8e7e2c32f16acdcbe0b33c6eec971fbdf87f187eed97060971d6,05faaacfcdaec72b64eaa254,5400630a3959f27a88afd8e2b6,16,078ee3da6b8e54da153da16b8e57d0bc
13,22d3e291499b313dd9bfda15134fb1df99c41d0d0c72466d42418757f4449605,,b33b7064cf60e699cca0096d951f168e6075e80c48006dbfa6ff02d60696,24,8ebc03665d209c51d562e797bafb55ea14e0cfceaf5a306e
14,36340675cd03f9623600afdbf66eef99a9c4409e39c0f81cf5bfa4455f242ffe,34,84aab3e5aea44779214effe3da6784120d30f19bfeb1ec16a09604261012f6bf9b28e835625650e619f347c19dab6f,32,9dd95747dd83671935008c40e23f819d2706cb1c40985049244f172f939749fc
15,339a83109e9bb0f27601b6feeab4a2c9e3f081de8e0a5606fa6f7dbb8564688e,55e8,,16,116bfa1ea0d956223db073ea1710a419
16,fe5c4a9eebdce485990904c9bb06687f2c9fbfbf81356629d6986dab184424f9,59c6c2,7eaad9025f97b134f03566bae9cff8c496,24,31ab3f151ae359f2645bf835952452543e195973844b1272
17,fcc3ce6b3c454f3fd5dada40bb2845cb1f283dece6334642702f12bdd3c72015,83af1592,5fc17467b764d2159c1e78ff09923efdee4834bd9a6ad0bb2cfed6106ea1c9c9cbb6,32,1455268a0feb17d928dd330ec3dfda8e32553d4932e7dcb1876365028ae4e689
18,5a33f19b4b1c0322591d17fc68bd41af6ff73d8b7dafd4d97613c2b10ef8962e,d2a10fccfb,d09f118b19ee81977b12719a6e2a6dcf4ea2fcc7d656cdb35443e9b737fb73e95cd176bc37d734405cc4120901e59f10ba5c8f49,16,a3ded2d09186fb03d658790d0863450f
19,7dd426fe2763d2c0ec64a7b6cc8f53c7436c31cb1e347e076195ba4ab4dfa87b,cf756d5f4b56,fd24d655,24,d789b181a141aa5dea7e44307d3e9ffec4d5cd050ed7ffd8
20,008838e5e047caa0b887f577a6c9b85141fbf69cf631a41fbcb0b9c08f9fcb64,30cbdde9976348,a4575b8f75f7a3c6f84477206dc1e3235323a96187,32,1874575651f64db0a0b2b94d82bdf308ed883e14a5733c2a704735ab73563865
21,5c39019f8588b751c03cb07f8c09c15d7363db2298153259d0eebbd8dd1be39a,f4a4d5b0ab1ed34b,f0daaefa1ff60032e3cf51873daa1e15b16ac081c891ce930801f593a58dab1882f61966042ad8,16,2d5e568fd09a34b0a72a8f12cde5e8a5
22,47a118047b601be02584c28d950758f2800db3ca03333b81a4efad1d5428bbd6,4f3de296e4689eb1db,aab755359e3c5e5a15ba41221f9a83371144cc11606fd50e148cfbefad6e4a04990870485f981b4cff75cf2745e1d0320ffc14576f318a2c,24,f183642febce8917a5998f519fafd205a5fe0fa383b0fc7f
23,0d422c601596703323a50f27e30c5822c5046d2f9c3b274c55705c9d1d6c4e88,29d5aefc1973e141da97,b8d46899c206ece5,32,e52937b3fab01179ca7a5d66afab4ba3beac250edfd5cec55eec274d84ecf058
24,09aa2912e3c18854ec4841ee3b4fb34238658a2fd4027848f611864b815a0a48,049145c406824fb7222efc,80b5ca1dd08297025d954a8779c7d6dcc4abfa8284a56584d075,16,03f25fbe00723cc334680e1afc5b5181
25,9c0681a88e83ba52bf1a4148d2d6073eee4405e00db005344df704b27e29b8c2,9d937c2316cdc603cee88e33,db32ae5f03303ace137e5f420bae3e23538c4e4ae76879d9ef37943bb0e7c085ed756bb346a0e4d36cf14d,24,8a2075a17a54b344f2d40d5245f3cc197f9880a951a7e5c1
26,82eb3cea9cdcd5022e67ba279b6db93ff4d15368875423b948ceee29fb9bc38e,,e10fc40ea3881fb0c144ba159443867564d3bb1e673bd3f85d3f85242e7ed83db4e1ed41f8b2769e9d389fbe95f2ce510f1eb4b7c2ab383f4beab1ac,32,2a025359fe168654a93f70981b14258cc8cdeb52069ea0ce96e3d64c2351f53d
27,bc6446fb88e54fd792dfa02e1f5ed9960c99657226416688181c31002dd7b9e4,3a,937dc897dde258c779ee9f5253,16,f0e2e17de61a3b56b04555ae85142507
28,e8bb22bad95830e58548ae231d8d7ea052fc97f187bde2c668ee8895ed3d26a4,f76f,a51815f028a33b0a529009e7961f3ad88015c5a25e1a4cdc1e77dc7e3e56,24,df5b408379ea930c1cdebc1b3d106b1a683c5386d0ad9c73
29,0240e9db9a5382bc9a4203557826ed02f31690cc36ff4ba40d9a7cef2fd53afe,d4f9d6,b36790d27313cc871d116e6bcdf10fb6d705d650d3e0d436ec1d16912026ffc67dd0bf9ca6f025672ddc5358668ed5,32,380d13aff6ee1ff276b4ce59cd8972730e09f640bc28cee724a13b9dd64d1201
30,fba4468ac02d0ed410088d07ee412d2d8ce4e0101b1df8195c35e4e4a2ca54fe,9abb7c27,,16,d2f6bdb5169dbe5d509b464618dee670
31,8f7aca0b760821f52c4c91fa1dd4410998e5d864c05cb0ae546f105fd7e23c4a,0f75e27293,ac71f778e851a8193500e5c607815f573e,24,0cda7b770ff061961cfb78fa2b4810c5b2352dca2970b30f
32,74e615d4e4dc7d48ace061dbb9f2c41854d8b0a5f2ad5900775128d7aebe8681,49faf51d17ce,84b48ac073f9f1510454d56ea47848fbb7092953292d8798a244b5815564a03b2810,32,965dca6ed785e52c2f3f4b4d7bf7cd10d3cd2613058aaa4f96bac7551f7961bf
33,1d96bdd443c7615ac486bc759e32f72528256c5ef980a5a9a4e02399b4963eab,7d1768fa70a485,39a383710fda534b17ffd8bae3972d6a7c8cf6e6f7cb6044efebf5d1b839e625d5d45a76662b8bd0fe27fe4a22458a31ed373e77,16,327d4d85715b312fff2941f6a89cfc5d
34,a3de49f7542b0a508ac0294238b31e6e90c76ceec306cbf0379cf2e4d842fd39,2f284e5db9807a0d,6784d614,24,933383699b6c7d16bcee9b4b5e6c3666578bf36cf1d0a93b
35,af0fb64b100144187dbb906a1f25078f5145593e001b61c981a83d0b1d588480,8596d48f767407a490,4e9c02fea416a9d31636c09e38100cbcf11a77b0b5,32,ccec03a1734da0b41939796776b76b18087007c2f7836e2777013b4cc3a7b833
36,da89c01f617bde262c25ffb968bb385e74090b55f63792d478db5c7e00aa7e55,ec08b26d574405e8af12,b7c31f35d36d81df049ae56bb71f31bf8b4df07279bfda5ee558efdf69ab7ba6de5a7d47641e66,16,6856c073616c453139b288b8ad7c35ee
37,60dbdfb409af22836537a4c543f77a185e65ef48ab934550f729647c9df77b54,9e24e4c166e61da8dd08f4,0385b1cb00c7b1c6c2ae06d3560539294f361b9e358afe92e9c1dfd16ecd2ab89abf0ad729c472b70cd6341eba331572d7c4b76ec05e5fd6,24,43be31fcd73e8238937d3ce708bee4a5dcc71492c38379f4
38,721c01bc38a71472cdb65328e6656a746e397fa0b74ebac07cd3899bf38a942b,fddb532464324472093f63b5,52cf61a825fcbbd7,32,42849942fc0bb46536fc7bd5ade3f507a172497f617020b464828897a0b5bc78
39,fde3cd6df87a4b1f3ebb2ad44aee309ed40cb7f0fb1154a0d78be15516e36669,,365a1d8204327a8d385f2bf00a1694de9cd4af7e57a3218fba40,16,1cb4c4e78968009db89b08b00c36e408
40,4be4d58c6657bba498ab974aed2a780cca478c82babd829102199e49986dbbbd,d9,ad93313717be8aeaf3bb0e458706e1c9b6410aa2758fddaffe6c91d8617c13d9b7f7fc303b2e82ea1ae3c9,24,482d14beaed320f012e02331cb7abb84b73448bd378e25f7
41,130ab67f5ea54ff27b7f23ccd92c244751525eae40817e10d7fd98445fb12cce,7489,5fc4de41c7f9742438a5337bcbbed3ddc5c4dc0e2b9a7c421ead63bec686e66924c4a24e52ce84690f734e3e4eae0a166f6e2776f6657808d824ad02,32,7b4cb9254a7620ed869b8df7746d322e2787d287738eb0732ec82edbd6094169
42,03d5152992696963132b3ea2cefbfc209083ff972646d8dd5acbf2241d305b25,7fbf68,5e8bb6344873679f6b3e212dc2,16,316150ac6d8c48ad640aa0be9b844dc5
43,6b0d15668ce35163b088b78c6e3ed0ebc5cd738d9362f017092501c6b1df6435,7d024de4,61638a39f7148b3156a3b66873eab349e6eb6ac9bb32ab7191071fc161bd,24,f35912fcf64f8441abe8f3a5486f93920615c126e17fbcba
44,73e1ab7f2dc8cfb1d3ccbed1db3611f80193c4ac105ba7acaa35a2ff6f867121,4d181b4a9b,aa9489377c80e2f0be32685f50efd9cbb25594ee7ac3104031845ba379b4fee8539b9ba96d81ad3a5e1174f6bf49c1,32,5bf47538224a748afa9f7321714a2c50a4dccd6b36f2db24ec0ba97534be37c9
45,869227ba1a87bd515d30a0fb5e805e8588f97bd882e525168e08b9aa708e3fec,53bdc8b6a80d,,16,ab4b0a56438b3340dcd1525217e6c8b1
46,02a4d361d7f7900d0a7ee4ade51e96595596d601af1191b72aeaaac8661ac081,13338f7adaf9ce,ec0c9d4e085e1ea82db09e4f12ad66922b,24,b2c71efbed38e8e105c0b53a12e926b43be59d4d62a45b12
47,35a4361064b997ae39cddfb1836a52561e04d1fc2f7231c744d4dd807d214805,86bb4f9173c22fa1,88d4000531b6b411d8ab37f2e4d41e764f851b7e8f937fef896fb4f30313e280a4f2,32,3aa9c7a528e25fa0a9b7d4273e647c7a6a894ef839d748d8b9969d340d0bb72f
